5386,,,,,,,,
Cet,IC     236,2,32,54,-,0,8,0
Cet,IC     237,2,33,30,+,1,8,0
Ari,IC     238,2,35,18,+,12,49,0
And,IC     239,2,36,30,+,38,58,0
Per,IC     240,2,39,6,+,41,44,0
Cet,IC     241,2,37,54,+,2,20,0
Cet,IC     242,2,38,30,-,6,55,0
Cet,IC     243,2,38,30,-,6,55,0
Cet,IC     244,2,39,24,+,2,43,0
Cet,IC     245,2,38,54,-,14,18,0
Cet,IC     246,2,40,30,+,2,29,0
Cet,IC     247,2,40,6,-,11,44,0
Ari,IC     248,2,41,24,+,17,48,0
Cet,IC     249,2,41,6,-,6,56,0
Cet,IC     250,2,40,54,-,13,19,0
Cet,IC     251,2,41,12,-,14,58,0
Cet,IC     252,2,41,42,-,14,51,0
Cet,IC     253,2,42,6,-,15,3,0
Cet,IC     254,2,42,6,-,15,5,0
Ari,IC     255,2,47,6,+,16,16,0
Per,IC     256,2,49,48,+,46,59,0
Per,IC     257,2,49,54,+,46,59,0
Per,IC     258,2,49,48,+,41,3,0
Per,IC     259,2,50,6,+,41,4,0
Per,IC     260,2,51,6,+,46,57,0
Eri,IC     261,2,49,6,-,14,28,0
Per,IC     262,2,51,42,+,42,50,0
Cet,IC     263,2,50,36,-,0,7,0
Cet,IC     264,2,50,54,-,0,10,0
Per,IC     265,2,54,42,+,41,40,0
Per,IC     266,2,55,0,+,42,14,0
Ari,IC     267,2,53,48,+,12,50,0
Eri,IC     268,2,55,24,-,14,6,0
Eri,IC     269,2,55,24,-,14,4,0
Eri,IC     270,2,55,42,-,14,12,0
Eri,IC     271,2,56,0,-,12,0,0
Eri,IC     272,2,56,6,-,14,11,0
Cet,IC     273,2,57,6,+,2,47,0
Per,IC     274,3,0,6,+,44,13,0
Per,IC     275,3,0,54,+,44,21,0
Eri,IC     276,2,58,42,-,15,41,0
Cet,IC     277,2,59,48,+,2,46,0
Per,IC     278,3,1,30,+,37,47,0
Ari,IC     279,3,1,12,+,16,13,0
Per,IC     280,3,3,18,+,42,21,0
Per,IC     281,3,4,30,+,42,21,0
Per,IC     282,3,5,12,+,41,51,0
Cet,IC     283,3,3,54,-,0,12,0
Per,IC     284,3,6,12,+,42,23,0
Eri,IC     285,3,4,6,-,12,1,0
Eri,IC     286,3,4,48,-,6,29,0
Eri,IC     287,3,5,0,-,12,5,0
Per,IC     288,3,7,30,+,42,22,0
Cas,IC     289,3,10,18,+,61,19,0
Per,IC     290,3,9,42,+,40,59,0
Eri,IC     291,3,7,24,-,12,37,0
Per,IC     292,3,10,18,+,40,46,0
Per,IC     293,3,10,54,+,41,7,0
Per,IC     294,3,10,54,+,40,38,0
Per,IC     295,3,11,0,+,40,37,0
Per,IC     296,3,11,6,+,40,37,0
Per,IC     297,3,13,18,+,42,6,0
Cet,IC     298,3,11,18,+,1,19,0
Eri,IC     299,3,11,0,-,13,7,0
Per,IC     300,3,14,18,+,42,25,0
Per,IC     301,3,14,48,+,42,13,0
Cet,IC     302,3,12,48,+,4,42,0
Eri,IC     303,3,12,42,-,11,42,0
Per,IC     304,3,15,0,+,37,54,0
Per,IC     305,3,15,6,+,37,51,0
Eri,IC     306,3,13,0,-,11,43,0
Cet,IC     307,3,13,48,-,0,13,0
Per,IC     308,3,16,18,+,41,11,0
Per,IC     309,3,16,6,+,40,48,0
Per,IC     310,3,16,42,+,41,20,0
Per,IC     311,3,16,48,+,40,1,0
Per,IC     312,3,18,6,+,41,45,0
Per,IC     313,3,21,0,+,41,54,0
Eri,IC     314,3,18,48,-,1,58,0
Cet,IC     315,3,19,6,+,4,2,0
Per,IC     316,3,21,24,+,41,56,0
Eri,IC     317,3,19,0,-,12,45,0
Eri,IC     318,3,20,48,-,14,34,0
Per,IC     319,3,23,24,+,41,24,0
Per,IC     320,3,26,0,+,40,47,0
Eri,IC     321,3,24,30,-,15,0,0
Tau,IC     322,3,25,54,+,3,40,0
Per,IC     323,3,29,30,+,41,52,0
Eri,IC     324,3,26,30,-,21,21,0
Eri,IC     325,3,30,48,-,7,3,0
Eri,IC     326,3,30,42,-,14,26,0
Eri,IC     327,3,31,6,-,14,43,0
Eri,IC     328,3,31,12,-,14,40,0
Tau,IC     329,3,32,6,+,0,16,0
Tau,IC     330,3,32,12,+,0,21,0
Tau,IC     331,3,32,24,+,0,17,0
Tau,IC     332,3,32,42,+,1,23,0
Eri,IC     333,3,34,0,-,5,7,0
Cam,IC     334,3,45,12,+,76,38,0
For,IC     335,3,35,30,-,34,27,0
Tau,IC     336,3,38,12,+,23,28,0
Eri,IC     337,3,37,6,-,6,43,0
Tau,IC     338,3,37,36,+,3,8,0
Eri,IC     339,3,38,6,-,18,23,0
Eri,IC     340,3,39,30,-,13,7,0
Tau,IC     341,3,41,12,+,21,57,0
Cam,IC     342,3,46,48,+,68,6,0
Eri,IC     343,3,40,6,-,18,27,0
Eri,IC     344,3,41,30,-,4,39,0
Eri,IC     345,3,41,12,-,18,19,0
Eri,IC     346,3,41,42,-,18,16,0
Eri,IC     347,3,42,30,-,4,17,0
Per,IC     348,3,44,30,+,32,17,0
Tau,IC     349,3,46,18,+,23,56,0
Eri,IC     350,3,44,42,-,11,49,0
Per,IC     351,3,47,30,+,35,3,0
Eri,IC     352,3,47,36,-,8,44,0
Tau,IC     353,3,55,0,+,25,29,0
Tau,IC     354,3,53,18,+,23,25,0
Tau,IC     355,3,53,48,+,20,0,0
Cam,IC     356,4,7,48,+,69,49,0
Tau,IC     357,4,3,48,+,22,9,0
Tau,IC     358,4,3,42,+,19,53,0
Tau,IC     359,4,19,0,+,28,12,0
Tau,IC     360,4,13,0,+,25,38,0
Cam,IC     361,4,19,0,+,58,18,0
Eri,IC     362,4,16,42,-,12,13,0
Tau,IC     363,4,18,54,+,3,3,0
Tau,IC     364,4,19,6,+,3,10,0
Tau,IC     365,4,19,12,+,3,20,0
Tau,IC     366,4,19,36,+,2,21,0
Eri,IC     367,4,20,36,-,14,47,0
Eri,IC     368,4,22,42,-,12,37,0
Eri,IC     369,4,23,30,-,11,47,0
Eri,IC     370,4,24,6,-,9,23,0
Eri,IC     371,4,30,12,-,0,33,0
Eri,IC     372,4,30,6,-,5,1,0
Eri,IC     373,4,30,42,-,4,52,0
Tau,IC     374,4,32,30,+,16,38,0
